Date,,Payee,Amount,Memo,OrigPayee
7/4/2016,7/6/2016,hudsons bay edmonton,-258.67,,HUDSON'S BAY #1125 EDMONTON
7/4/2016,7/6/2016,sedra ltd. edmonton,-64.05,,LA SEDRA LTD. EDMONTON
7/4/2016,7/6/2016,polar dental lab edmonton,-2396.63,,POLAR DENTAL LAB EDMONTON
7/5/2016,7/6/2016,arabian muslim associatio,-1000.00,EDMONTON,ARABIAN MUSLIM ASSOCIATIO
7/5/2016,7/7/2016,bb islamic relief,-12500.00,,BB *ISLAMIC RELIEF 888-468-9966
7/5/2016,7/7/2016,henry schein canada,-88.18,NIAGARA-ON-T,HENRY SCHEIN CANADA
7/6/2016,7/7/2016,henry schein canada,-264.78,NIAGARA-ON-T,HENRY SCHEIN CANADA
7/7/2016,7/11/2016,centex west edm pump edmonton,-40.00,,CENTEX WEST EDM PUMP EDMONTON
7/8/2016,7/11/2016,ahs accounts receivable,-360.00,EDMONTON,AHS ACCOUNTS RECEIVABLE
7/8/2016,7/11/2016,payment - thank you,34725.62,,PAYMENT - THANK YOU
7/11/2016,7/12/2016,henry schein canada,-438.11,NIAGARA-ON-T,HENRY SCHEIN CANADA
7/12/2016,7/13/2016,henry schein canada,-183.68,NIAGARA-ON-T,HENRY SCHEIN CANADA
7/14/2016,7/14/2016,plan canada,-25.00,,PLAN CANADA 416-920-1654
7/14/2016,7/18/2016,staples.ca mississauga,-103.87,,STAPLES.CA MISSISSAUGA
7/15/2016,7/18/2016,al-rashid mosque edmonton,-75.00,,AL-RASHID MOSQUE EDMONTON
7/15/2016,7/18/2016,staples.ca mississauga,-208.95,,STAPLES.CA MISSISSAUGA
7/18/2016,7/19/2016,henry schein canada,-110.20,NIAGARA-ON-T,HENRY SCHEIN CANADA
7/19/2016,7/21/2016,shaw cablesystems calgary,-233.67,,SHAW CABLESYSTEMS CALGARY
7/19/2016,7/21/2016,tulsa dental products,-426.00,WOODBRIDGE,TULSA DENTAL PRODUCTS
7/20/2016,7/22/2016,microsoft office 365 8775682495,-10.50,,MICROSOFT *OFFICE 365 8775682495
7/20/2016,7/22/2016,henry schein canada,-1227.97,NIAGARA-ON-T,HENRY SCHEIN CANADA
7/22/2016,7/25/2016,tulsa dental products,-44.42,WOODBRIDGE,TULSA DENTAL PRODUCTS
7/25/2016,7/26/2016,facebk cvf7b92w42,-33.98,FOREIGN CURRENCY 25.03 USD EXCHANGE RATE 1.35757,FACEBK CVF7B92W42 650-6187714
7/25/2016,7/27/2016,cactus club west ed edmonton,-321.68,,CACTUS CLUB WEST ED EDMONTON
7/26/2016,7/27/2016,fido mobile 690520887,-37.21,,FIDO Mobile *690520887 888-481-3436
7/28/2016,7/29/2016,densn dente dental suppl,-1485.44,MARKHAM,DENS'N DENTE DENTAL SUPPL
7/28/2016,7/29/2016,shoe warehouse edmonton,-57.74,,SHOE WAREHOUSE #762 EDMONTON
7/29/2016,8/2/2016,henry schein canada,-534.15,NIAGARA-ON-T,HENRY SCHEIN CANADA
7/29/2016,8/2/2016,henry schein canada,-124.56,NIAGARA-ON-T,HENRY SCHEIN CANADA
7/29/2016,8/2/2016,quickbooks online london ec4v,-19.95,,QUICKBOOKS ONLINE LONDON EC4V
7/31/2016,8/2/2016,facebk 7t82f9ev42,-16.52,FOREIGN CURRENCY 12.22 USD EXCHANGE RATE 1.35188,FACEBK 7T82F9EV42 650-6187714
8/1/2016,8/3/2016,bb islamic relief,-825.00,,BB *ISLAMIC RELIEF 888-468-9966
8/1/2016,8/3/2016,bb islamic relief,-300.00,,BB *ISLAMIC RELIEF 888-468-9966
8/2/2016,8/3/2016,alarmforce industries,-26.25,,ALARMFORCE INDUSTRIES 416-445-2001
8/2/2016,8/3/2016,polar dental lab edmonton,-2104.33,,POLAR DENTAL LAB EDMONTON
8/3/2016,8/4/2016,wpyrayanas journey,-200.00,,WPY*RAYANAS JOURNEY 855-469-3729
8/4/2016,8/5/2016,dollarama 758 edmonton,-41.74,,DOLLARAMA # 758 EDMONTON
