Accounting fees,       Advertising,       Advertising and promotion,       Appraisal fees,       Bad debt expense,       Bank charges,       Business taxes,       Computer-related expenses,       Consulting fees,       Credit card charges,       Delivery,       Donations,       Dumping charges,       Electricity,       Employee benefits,       Employee salaries,       Equipment rental,       Fuel costs,       Garbage removal,       General and administrative expenses,       Government fees,       Group insurance benefits,       Heat,       Insurance,       Interest and bank charges,       Interest on bonds and debentures,       Interest on long term debt,       Interest on short term debt,       Interest paid (financial institutions),       Interest paid on bonds and debentures,       Interest paid on deposits,       Internet,       Land fill fees,       Legal fees,       Machine shop expense,       Meals and entertainment,       Meetings and conventions,       Memberships,       Motor vehicle rentals,       Occupancy costs,       Office expenses,       Office stationery and supplies,       Office utilities,       Other expenses,       Other repairs and maintenance,       Professional fees,       Promotion,       Property taxes,       Real estate rental,       Rental,       Repairs and maintenance,       Repairs and maintenance - machinery and equipment,       Repairs and maintenance - vehicles,       Research and development,       Salaries and wages,       Security,       Selling expenses,       Shipping and warehouse expense,       Shop expense,       Small tools,       Storage,       Sub-contracts,       Supplies,       Telephone and telecommunications,       Training expense,       Travel expenses,       Utilities,       Vehicle expenses,       Water,       Warranty expenses,      Undefined
, , , , , , ,    gsuite, , , ,   islamic relief,   waste mgmt, , , , ,   petrocan, , , , , , , , , , , , , , , , , ,   tim hortons, , , , , , , , , ,   dental, , , , , , ,     pro detail supply, , , , , , , , ,   vortek construction,     cleaners warehouse,   bell mobility, ,   airbnb, ,   nissan, , , 
, , , , , , ,    quickbooks, , , ,   al-rashid, , , , , ,   7-eleven, , , , , , , , , , , , , , , , , ,   planet organic, , , , , , , , , ,   barbershop, , , , , , ,   millwoods auto centre, , , , , , , , ,   rh services,    carpet superstore,   koodo mobile, ,   airportrentals, ,   honda, , , 
, , , , , , ,    godaddy, , , ,   rashid mosque, , , , , ,   petroleum, , , , , , , , , , , , , , , , , ,   burger king, , , , , , , , , ,   sport and spine, , , , , , ,   sams solution auto, , , , , , , , ,   naiad irrigation,    glenora lumber,   fido mobile, ,   hostelling, ,   double ace auto, , , 
, , , , , , ,   nchsoftware, , , ,   plan canada, , , , , ,   esso, , , , , , , , , , , , , , , , , ,   apna punjab foods, , , , , , , , , ,   homeserve, , , , , , ,   jiffy lube, , , , , , , , , ,    home depot,   telus, ,   expedia, , , , , 
, , , , , , ,   anixter, , , ,   islamic, , , , , ,   shell, , , , , , , , , , , , , , , , , ,   shoppersdrugmart, , , , , , , , , ,   massage experts, , , , , , ,   mr. lube, , , , , , , , , ,    dulux paints,   cellxpress, ,   air can, , , , , 
, , , , , , ,   best buy, , , ,   arabian muslim, , , , , ,   7 eleven, , , , , , , , , , , , , , , , , ,   liquor, , , , , , , , , ,   orthodontic, , , , , , , , , , , , , , , , ,    lowes,   freedom mobile, ,   flighthub, , , , , 
, , , , , , ,   monoprice, , , , , , , , , ,   husky, , , , , , , , , , , , , , , , , ,   mcdonald, , , , , , , , , ,   inc inc, , , , , , , , , , , , , , , , ,    staples,   rogers, ,   hotel, , , , , 
, , , , , , ,   microsoftoffice, , , , , , , , , ,   gas, , , , , , , , , , , , , , , , , ,   shoppers drug mart, , , , , , , , , ,   spasation, , , , , , , , , , , , , , , , ,    fancy windows, , ,   westjet, , , , , 
, , , , , , ,   teamsnap, , , , , , , , , ,   mobil, , , , , , , , , , , , , , , , , ,   kfc, , , , , , , , , ,   hospital, , , , , , , , , , , , , , , , ,    cdn tire, , , , , , , , 
, , , , , , ,   adobe acropro, , , , , , , , , ,   centex, , , , , , , , , , , , , , , , , ,   shawarma, , , , , , , , , ,   fireplace guy, , , , , , , , , , , , , , , , ,    supplies, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   restaurant, , , , , , , , , ,   chiropractic, , , , , , , , , , , , , , , , ,    consolidated gupsum, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   basha international foods, , , , , , , , , ,   paragon testing, , , , , , , , , , , , , , , , ,    vistaprint, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   sports tab, , , , , , , , , , , , , , , , , , , , , , , , , , ,    plywood, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   century casino, , , , , , , , , , , , , , , , , , , , , , , , , , ,   rona, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   sephora, , , , , , , , , , , , , , , , , , , , , , , , , , ,   fancy doors & mouldings, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   seafood, , , , , , , , , , , , , , , , , , , , , , , , , , ,   lumber, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   pita pit, , , , , , , , , , , , , , , , , , , , , , , , , , ,   wal-mart, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   italian centre shop, , , , , , , , , , , , , , , , , , , , , , , , , , ,   cdn tire, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   cactus club, , , , , , , , , , , , , , , , , , , , , , , , , , ,   dollarama, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   pizza, , , , , , , , , , , , , , , , , , , , , , , , , , ,   costco, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   foodmart, , , , , , , , , , , , , , , , , , , , , , , , , , ,   aliexpress, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   booster juice, , , , , , , , , , , , , , , , , , , , , , , , , , ,   harry rosen, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   subway, , , , , , , , , , , , , , , , , , , , , , , , , , ,   staples, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   mr paintball, , , , , , , , , , , , , , , , , , , , , , , , , , ,   amazon, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   ihop, , , , , , , , , , , , , , , , , , , , , , , , , , ,   toys R us, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   tays food store, , , , , , , , , , , , , , , , , , , , , , , , , , ,   hudsons bay, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   jugo juice, , , , , , , , , , , , , , , , , , , , , , , , , , ,   holt renfrew, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   guess, , , , , , , , , , , , , , , , , , , , , , , , , , ,   nofrills, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   paradiso, , , , , , , , , , , , , , , , , , , , , , , , , , ,   groupon, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   viphalay laos and thai, , , , , , , , , , , , , , , , , , , , , , , , , , ,   thyme maternity, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   oriental noodle house, , , , , , , , , , , , , , , , , , , , , , , , , , ,   army navy dept store, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   afghan chopan kebab, , , , , , , , , , , , , , , , , , , , , , , , , , ,   london drugs, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   mary browns, , , , , , , , , , , , , , , , , , , , , , , , , , ,   texonic av mounting, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   mt. fuji teppan-yaki, , , , , , , , , , , , , , , , , , , , , , , , , , ,   elsafadi, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   donair, , , , , , , , , , , , , , , , , , , , , , , , , , ,   healthcare supply, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   moxies, , , , , , , , , , , , , , , , , , , , , , , , , , ,   memory express, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   cafe, , , , , , , , , , , , , , , , , , , , , , , , , , ,   aldo, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   ticketmaster, , , , , , , , , , , , , , , , , , , , , , , , , , ,   safeway, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   boosterjuice, , , , , , , , , , , , , , , , , , , , , , , , , , ,   cellularoutfitter, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   edo japan, , , , , , , , , , , , , , , , , , , , , , , , , , ,   urban behaviour, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   harts table & bar, , , , , , , , , , , , , , , , , , , , , , , , , , ,   toner laser centre, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   mcdonalds, , , , , , , , , , , , , , , , , , , , , , , , , , ,   sherwin-williams, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   lounge, , , , , , , , , , , , , , , , , , , , , , , , , , ,   albaraka meat shop, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   skipthedishes, , , , , , , , , , , , , , , , , , , , , , , , , , ,   sobeys, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   kernels popcorn, , , , , , , , , , , , , , , , , , , , , , , , , , ,   mildly chinese herbal, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   fatburger, , , , , , , , , , , , , , , , , , , , , , , , , , ,   senza, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   crepe delicious, , , , , , , , , , , , , , , , , , , , , , , , , , ,   appliance outlet, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   starbucks, , , , , , , , , , , , , , , , , , , , , , , , , , ,   dynamite, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   zoo, , , , , , , , , , , , , , , , , , , , , , , , , , ,   sportschek, , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   bakery, , , , , , , , , , , , , , , , , , , , , , , , , , ,   sport chek, , , , , , , , 
