Date,ate 2,Payee,Amount,Memo,OrigPayee,Expense Type
2/22/2021,2/23/2021,payment - thank you paiement - merci,413.68,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
2/23/2021,2/24/2021,payment - thank you paiement - merci,443.84,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
2/24/2021,2/25/2021,payment - thank you paiement - merci,295.82,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
2/25/2021,2/26/2021,payment - thank you paiement - merci,264.78,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
2/27/2021,3/1/2021,payment - thank you paiement - merci,306.55,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
3/3/2021,3/4/2021,payment - thank you paiement - merci,196.37,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
3/4/2021,3/5/2021,payment - thank you paiement - merci,206.63,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
3/9/2021,3/9/2021,payment - thank you paiement - merci,480.49,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
3/10/2021,3/10/2021,payment - thank you paiement - merci,221.54,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
3/12/2021,3/15/2021,payment - thank you paiement - merci,274.37,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
3/17/2021,3/17/2021,payment - thank you paiement - merci,388.28,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
3/19/2021,3/22/2021,payment - thank you paiement - merci,695.39,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
2/22/2021,2/24/2021,shaw cablesystems calgary ab,-63,,SHAW CABLESYSTEMS CALGARY AB,Internet
2/23/2021,2/23/2021,amzn mktp ca3915c02a3 www.amazon.caon,-16.99,,AMZN MKTP CA*3915C02A3 WWW.AMAZON.CAON,Supplies
2/23/2021,2/23/2021,amzn mktp cacj6w81ix3 www.amazon.caon,-15.99,,AMZN MKTP CA*CJ6W81IX3 WWW.AMAZON.CAON,Supplies
2/23/2021,2/23/2021,amzn mktp caj13ki3as3 www.amazon.caon,-20.97,,AMZN MKTP CA*J13KI3AS3 WWW.AMAZON.CAON,Supplies
2/25/2021,3/1/2021,sobeys namao ,-8.08,,SOBEYS NAMAO #5480 EDMONTON AB,Supplies
2/26/2021,3/1/2021,marshalls 745 ,-35.12,,MARSHALLS 745 EDMONTON AB,Undefined
2/26/2021,3/1/2021,eb games 883 ,-28.33,,EB GAMES 883 EDMONTON AB,Undefined
2/26/2021,3/1/2021,khan kebabs ,-335.5,,KHAN KEBABS EDMONTON AB,Meals and entertainment
2/28/2021,3/2/2021,googlegoogle storage internet,-2.79,,GOOGLE*GOOGLE STORAGE INTERNET NS,Undefined
2/28/2021,3/1/2021,paypal playstation 4029357733,-79.99,,PAYPAL *PLAYSTATION 4029357733 ON,Undefined
3/1/2021,3/4/2021,sobeys namao ,-9.06,,SOBEYS NAMAO #5480 EDMONTON AB,Supplies
3/1/2021,3/1/2021,amzn mktp ca0561t4xa3 www.amazon.caon,-20.99,,AMZN MKTP CA*0561T4XA3 WWW.AMAZON.CAON,Supplies
3/2/2021,3/4/2021,j2 myfax services,-12.98,,J2 *MYFAX SERVICES 877-437-3607 CA,Undefined
3/3/2021,3/4/2021,amzn mktp caqb6hp7uk3 www.amazon.caon,-45.39,,AMZN MKTP CA*QB6HP7UK3 WWW.AMAZON.CAON,Supplies
3/3/2021,3/3/2021,tim hortons ,-2.49,,TIM HORTONS #2282 EDMONTON AB,Meals and entertainment
3/4/2021,3/4/2021,skipthedishes winnipeg,-36.38,,SKIPTHEDISHES WINNIPEG MB,Meals and entertainment
3/4/2021,3/5/2021,tradestation technolog www.tradestatfl,-128.83,,TRADESTATION TECHNOLOG WWW.TRADESTATFL,Undefined
3/4/2021,3/5/2021,j2 myfax services,-13.02,,J2 *MYFAX SERVICES 877-437-3607 CA,Undefined
3/4/2021,3/8/2021,7-eleven store ,-50,,7-ELEVEN STORE #32844 EDMONTON AB,Fuel costs
3/5/2021,3/8/2021,skipthedishes winnipeg,-64.8,,SKIPTHEDISHES WINNIPEG MB,Meals and entertainment
3/5/2021,3/8/2021,amzn mktp ca2v7xr9jc3 www.amazon.caon,-19.92,,AMZN MKTP CA*2V7XR9JC3 WWW.AMAZON.CAON,Supplies
3/5/2021,3/5/2021,amzn mktp ca501py0i23 www.amazon.caon,-41.76,,AMZN MKTP CA*501PY0I23 WWW.AMAZON.CAON,Supplies
3/5/2021,3/8/2021,almadina halal meat & ,-79.55,,ALMADINA HALAL MEAT & EDMONTON AB,Undefined
3/5/2021,3/8/2021,sara folard and gifts ,-206.55,,SARA FOLARD AND GIFTS EDMONTON AB,Undefined
3/5/2021,3/8/2021,save foods ,-77.47,,SAVE ON FOODS #6667 EDMONTON AB,Supplies
3/6/2021,3/8/2021,tim hortons ,-6.9,,TIM HORTONS #1113 EDMONTON AB,Meals and entertainment
3/6/2021,3/8/2021,shaw cablesystems calgary ab,-63,,SHAW CABLESYSTEMS CALGARY AB,Internet
3/7/2021,3/9/2021,sara folard and gifts ,-136.5,,SARA FOLARD AND GIFTS EDMONTON AB,Undefined
3/7/2021,3/8/2021,paypal zohocorpora zoho-402-935-7733,-25.21,,PAYPAL *ZOHOCORPORA ZOHO-402-935-7733 CA,Undefined
3/7/2021,3/8/2021,dollarama 758 ,-17.59,,DOLLARAMA # 758 EDMONTON AB,Supplies
3/7/2021,3/8/2021,mcdonalds ,-18.84,,MCDONALD'S #40030 EDMONTON AB,Meals and entertainment
3/9/2021,3/10/2021,paypal microsoft micr 4029357733,-82.95,,PAYPAL *MICROSOFT MICR 4029357733 ON,Undefined
3/9/2021,3/12/2021,w8tech sa 7754504856,-129.43,,W8TECH SA 7754504856 NV,Undefined
3/10/2021,3/11/2021,apple.combill,-16.79,,APPLE.COM/BILL 866-712-7753 ON,Undefined
3/10/2021,3/11/2021,logmeingotoconnect logmein.com,-63.06,,LOGMEIN*GOTOCONNECT LOGMEIN.COM QC,Undefined
3/10/2021,3/15/2021,sobeys namao ,-20.58,,SOBEYS NAMAO #5480 EDMONTON AB,Supplies
3/12/2021,3/15/2021,real cdn superstore ,-100.38,,REAL CDN SUPERSTORE #1 EDMONTON AB,Undefined
3/12/2021,3/15/2021,petrocan-13205 97 street ,-106.52,,PETROCAN-13205 97 STREET EDMONTON AB,Fuel costs
3/12/2021,3/15/2021,direct energy regulated ,-268.56,,DIRECT ENERGY REGULATED EDMONTON AB,Undefined
3/13/2021,3/15/2021,intuit canada ab,-84,,INTUIT CANADA 888-843-5449 AB,Undefined
3/14/2021,3/16/2021,fruiticana ,-27.98,,FRUITICANA EDMONTON AB,Undefined
3/14/2021,3/17/2021,wal-mart supercenter1122edmonton ab,-63.63,,WAL-MART SUPERCENTER#1122EDMONTON AB,Supplies
3/14/2021,3/15/2021,paramount fine foods ,-73.99,,PARAMOUNT FINE FOODS EDMONTON AB,Meals and entertainment
3/14/2021,3/15/2021,new desi bazar ,-76.93,,NEW DESI BAZAR EDMONTON AB,Undefined
3/15/2021,3/17/2021,the home depot ,-58.68,,THE HOME DEPOT #7119 EDMONTON AB,Supplies
3/15/2021,3/17/2021,christ redeemer catholic okotoks ab,-35,,CHRIST REDEEMER CATHOLIC OKOTOKS AB,Undefined
3/15/2021,3/17/2021,ab birth certs ,-80,,AB BIRTH CERTS EDMONTON AB,Undefined
3/15/2021,3/18/2021,sobeys namao ,-6.28,,SOBEYS NAMAO #5480 EDMONTON AB,Supplies
3/17/2021,3/18/2021,amzn mktp ca5i7o17m53 www.amazon.caon,-51.98,,AMZN MKTP CA*5I7O17M53 WWW.AMAZON.CAON,Supplies
3/17/2021,3/18/2021,paypal homeschlcan 4029357733,-109.41,,PAYPAL *HOMESCHLCAN 4029357733 ON,Undefined
3/17/2021,3/18/2021,apple.combill toronto,-4.19,,APPLE.COM/BILL TORONTO ON,Undefined
3/17/2021,3/19/2021,save foods ,-16.74,,SAVE ON FOODS #6664 EDMONTON AB,Supplies
3/18/2021,3/19/2021,googledomains internet,-102,,GOOGLE*DOMAINS INTERNET NS,Undefined
3/18/2021,3/22/2021,7-eleven store ,-17.84,,7-ELEVEN STORE #37831 EDMONTON AB,Fuel costs
3/19/2021,3/22/2021,skechers kingsway mall ,-139.13,,SKECHERS KINGSWAY MALL EDMONTON AB,Undefined
3/19/2021,3/22/2021,lululemon ,-155.4,,LULULEMON #00358 EDMONTON AB,Supplies
3/19/2021,3/22/2021,dollarama 758 ,-11.03,,DOLLARAMA # 758 EDMONTON AB,Supplies
3/19/2021,3/22/2021,petrocan-12659 - 153 ave ,-128.68,,PETROCAN-12659 - 153 AVE EDMONTON AB,Fuel costs
3/20/2021,3/22/2021,vistaprvistaprint.ca,-101.95,,VISTAPR*VISTAPRINT.CA 866-8936743 ON,Supplies
3/20/2021,3/22/2021,vistaprvistaprint.ca,-5.51,,VISTAPR*VISTAPRINT.CA 866-8936743 ON,Supplies
3/20/2021,3/22/2021,eye masters family eye ,-95,,EYE MASTERS FAMILY EYE EDMONTON AB,Undefined
3/20/2021,3/22/2021,khan kebabs ,-122.33,,KHAN KEBABS EDMONTON AB,Meals and entertainment
3/21/2021,3/22/2021,cdn tire store ,-24.12,,CDN TIRE STORE #00397 EDMONTON AB,Supplies
1/23/2021,1/25/2021,payment - thank you paiement - merci,213.11,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
1/25/2021,1/26/2021,payment - thank you paiement - merci,411.15,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
1/26/2021,1/26/2021,payment - thank you paiement - merci,255.55,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
1/28/2021,1/28/2021,payment - thank you paiement - merci,436.9,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
1/30/2021,2/1/2021,payment - thank you paiement - merci,688.4,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
2/1/2021,2/1/2021,payment - thank you paiement - merci,553.47,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
2/2/2021,2/2/2021,payment - thank you paiement - merci,400.05,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
2/3/2021,2/3/2021,payment - thank you paiement - merci,699.3,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
2/4/2021,2/5/2021,payment - thank you paiement - merci,2000,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
2/6/2021,2/8/2021,payment - thank you paiement - merci,217.42,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
2/8/2021,2/8/2021,payment - thank you paiement - merci,388.67,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
2/9/2021,2/10/2021,payment - thank you paiement - merci,461.28,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
2/12/2021,2/12/2021,payment - thank you paiement - merci,355.88,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
2/17/2021,2/17/2021,payment - thank you paiement - merci,531.13,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
2/19/2021,2/19/2021,payment - thank you paiement - merci,159.15,,PAYMENT - THANK YOU / PAIEMENT - MERCI,Payments
1/21/2021,1/25/2021,myalberta fine payment ,-126,,MYALBERTA FINE PAYMENT EDMONTON AB,Payments
1/21/2021,1/25/2021,myalberta fine payment ,-270,,MYALBERTA FINE PAYMENT EDMONTON AB,Payments
1/22/2021,1/25/2021,enterprise canada c524 ,-75.27,,ENTERPRISE CANADA C524 EDMONTON AB,Undefined
1/22/2021,1/25/2021,north central co-op ,-79.49,,NORTH CENTRAL CO-OP EDMONTON AB,Undefined
1/22/2021,1/25/2021,dollarama ,-28.14,,DOLLARAMA #409 EDMONTON AB,Supplies
1/22/2021,1/25/2021,superior décor corp calgary ab,-25.2,,SUPERIOR DÉCOR CORP CALGARY AB,Undefined
1/22/2021,1/25/2021,jerusalem shawarma calgary ab,-43.39,,JERUSALEM SHAWARMA CALGARY AB,Internet
1/22/2021,1/25/2021,save foods ,-43,,SAVE ON FOODS #6664 EDMONTON AB,Supplies
