Accounting fees,Advertising,Advertising and promotion,Amortization of intangible assets,Amortization of natural resource assets,Amortization of tangible assets,Appraisal fees,Architect Fees,Bad debt expense,Bank charges,Bonuses,Brokerage fees,Business taxes,"Business taxes, licences and memberships",Camp supplies,Cash over / short,Collection and credit costs,Commissions,Computer-related expenses,Condominium fees,Consulting fees,Contributions to deferred income plans,Credit card charges,Crew share,Data processing,"Delivery, freight and express",Directors fees,Donations,Dumping charges,Electricity,Employee benefits,Employee salaries,Employer's portion of employee benefits,Equipment rental,Fishing gear,Food and catering,Franchise fees,Fuel costs,Garbage removal,General and administrative expenses,Goodwill impairment loss,Government fees,Group insurance benefits,Heat,Insurance,Interest and bank charges,Interest on bonds and debentures,Interest on long term debt,Interest on mortgages,Interest on short term debt,Interest paid (financial institutions),Interest paid on bonds and debentures,Interest paid on deposits,Interfund transfer,Internet,Laboratory fees,Land fill fees,Laundry,Legal fees,Life insurance on executives,Loan losses,Machine shop expense,Management and administration fees,Management salaries,Meals and entertainment,Medical fees,Meetings and conventions,Memberships,Moorage (boat),Motor vehicle rentals,Nets and traps,Nova Scotia tax on large corporations,Occupancy costs,Office expenses,Office stationery and supplies,Office utilities,Other expenses,Other repairs and maintenance,Professional fees,Promotion,Property taxes,Provision for loan losses,Quota rental,Real estate rental,Refining and assay,Registrar and transfer agent fees,Reimbursement of parent company expense,Rental,Repairs and maintenance,Repairs and maintenance - boats,Repairs and maintenance - buildings,Repairs and maintenance - machinery and equipment,Repairs and maintenance - vehicles,Research and development,Restructuring costs,Road costs,Royalty expenses - non-resident,Royalty expenses - resident,Salaries and wages,"Salt, bait, and ice",Securities and commission fees,Security,Selling expenses,Shipping and warehouse expense,Shop expense,Small tools,Storage,Studio and recording,Sub-contracts,Supplies,Telephone and telecommunications,Training expense,Transfer fees,Travel expenses,Uniforms,Upgrade,Utilities,Vehicle expenses,Veterinary fees,Water,Warranty expenses,Withholding taxes
8862,8521,8520,8570,8650,8670,8865,8864,8590,8715,9063,8869,8762,8760,9139,9271,8717,9061,9150,8913,8863,8623,8716,9062,8813,9275,9064,8522,9279,9221,8620,9066,8622,8914,9136,9135,8763,9224,9014,9284,8571,8764,8621,9223,8690,8710,8712,8714,8713,8711,8740,8742,8741,9286,9152,8866,9280,9134,8861,8691,8610,9011,8871,9065,8523,8867,9201,8761,8916,8915,9137,8790,8912,8810,8811,8812,9270,9010,8860,8524,9180,8611,8918,8911,8872,8873,9272,8910,8960,8963,8961,8964,8962,9282,8874,9012,9278,9277,9060,9138,8875,9013,9273,9274,9132,9131,8917,8877,9110,9130,9225,8876,8870,9200,9133,9151,9220,9281,8868,9222,9276,9283
,,,,,,,,,,,,,,,,,,gsuite,,,,,,,,,islamic relief,,,,,,,,,,petrocan,,,,,,,,,,,,,,,,,shaw,,,,,,,,,,planet organic,,,,,,,,,,,,,,dental,,,,,,,,,,,,,,pro detail supply,,,,,,,,,alarmforce,,,,,,,vortek construction,cleaners warehouse,bell mobility,,airbnb,,nissan,,,,,,,
,,,,,,,,,,,,,,,,,,quickbooks,,,,,,,,,al-rashid,,,,,,,,,,7-eleven,,,,,,,,,,,,,,,,,,,,,,,,,,,burger king,,,,,,,,,,,,,,barbershop,,,,,,,,,,,,,,millwoods auto centre,,,,,,,,,,,,,,,,rh services,carpet superstore,koodo mobile,,airportrentals,,honda,,,,,,,
,,,,,,,,,,,,,,,,,,godaddy,,,,,,,,,mosque,,,,,,,,,,petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,apna punjab foods,,,,,,,,,,,,,,sport and spine,,,,,,,,,,,,,,sams solution auto,,,,,,,,,,,,,,,,naiad irrigation,glenora lumber,fido mobile,,hostelling,,double ace auto,,,,,,,
,,,,,,,,,,,,,,,,,,nchsoftware,,,,,,,,,islamic,,,,,,,,,,esso,,,,,,,,,,,,,,,,,,,,,,,,,,,shoppersdrugmart,,,,,,,,,,,,,,homeserve,,,,,,,,,,,,,,jiffy lube,,,,,,,,,,,,,,,,,home depot,telus,,expedia,,,,,,,,,
,,,,,,,,,,,,,,,,,,anixter,,,,,,,,,muslim,,,,,,,,,,shell,,,,,,,,,,,,,,,,,,,,,,,,,,,liquor,,,,,,,,,,,,,,massage experts,,,,,,,,,,,,,,mr. lube,,,,,,,,,,,,,,,,,dulux paints,cellxpress,,air can,,,,,,,,,
,,,,,,,,,,,,,,,,,,best buy,,,,,,,,,plan canada,,,,,,,,,,7 eleven,,,,,,,,,,,,,,,,,,,,,,,,,,,mcdonald,,,,,,,,,,,,,,orthodontic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lowes,freedom mobile,,flighthub,,,,,,,,,
,,,,,,,,,,,,,,,,,,monoprice,,,,,,,,,,,,,,,,,,,husky,,,,,,,,,,,,,,,,,,,,,,,,,,,shoppers drug mart,,,,,,,,,,,,,,inc inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,staples,rogers,,hotel,,,,,,,,,
,,,,,,,,,,,,,,,,,,microsoftoffice,,,,,,,,,,,,,,,,,,,gas,,,,,,,,,,,,,,,,,,,,,,,,,,,kfc,,,,,,,,,,,,,,spasation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fancy windows,,,westjet,,,,,,,,,
,,,,,,,,,,,,,,,,,,teamsnap,,,,,,,,,,,,,,,,,,,mobil,,,,,,,,,,,,,,,,,,,,,,,,,,,shawarma,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cdn tire,,,,,,,,,,,,
